                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                   3.15,                 1.6774,                 1.1467,                0.00059,                0.00935,                 0.0003,                0.00018,                    nan,                    nan,                    nan,              0.0092872,              0.0092872,              0.0092872
                     38,                 3.0436,                 1.7002,                 1.1936,                0.53705,                0.03738,                0.03088,                0.00531,                    nan,                    nan,                    nan,              0.0092674,              0.0092674,              0.0092674
                     39,                 2.8838,                 1.6454,                  1.119,                 0.2559,                0.03863,                0.03027,                0.00756,                    nan,                    nan,                    nan,              0.0092476,              0.0092476,              0.0092476
                     40,                 2.8146,                 1.5484,                 1.2106,                0.16075,                0.02804,                0.00971,                0.00271,                    nan,                    nan,                    nan,              0.0092278,              0.0092278,              0.0092278
                     41,                 3.0678,                 1.5438,                 1.2113,                  0.479,                0.04673,                0.03169,                0.00744,                    nan,                    nan,                    nan,               0.009208,               0.009208,               0.009208
                     42,                 2.7064,                 1.4876,                 1.0488,                0.20654,                0.02804,                0.00868,                0.00202,                    nan,                    nan,                    nan,              0.0091882,              0.0091882,              0.0091882
                     43,                 3.0674,                 1.7172,                 1.1904,                0.48268,                0.02804,                0.02239,                0.00424,                    nan,                    nan,                    nan,              0.0091684,              0.0091684,              0.0091684
                     44,                 3.1022,                 1.6384,                 1.0884,                0.20649,                0.02804,                0.02266,                0.00656,                    nan,                    nan,                    nan,              0.0091486,              0.0091486,              0.0091486
                     45,                 2.9508,                  1.693,                 1.1685,                0.26482,                0.03738,                0.03265,                0.00567,                    nan,                    nan,                    nan,              0.0091288,              0.0091288,              0.0091288
                     46,                 2.8865,                 1.6114,                 1.1092,                0.34892,                0.04517,                0.03119,                0.01112,                    nan,                    nan,                    nan,               0.009109,               0.009109,               0.009109
                     47,                 2.7919,                 1.6463,                 1.0827,                0.71976,                0.03738,                0.05451,                0.01366,                    nan,                    nan,                    nan,              0.0090892,              0.0090892,              0.0090892
                     48,                 2.9324,                 1.5911,                 1.0461,                0.01463,                0.02804,                0.01573,                0.00661,                    nan,                    nan,                    nan,              0.0090694,              0.0090694,              0.0090694
                     49,                 2.9901,                 1.7348,                 1.0888,                0.38128,                0.02804,                0.01994,                0.00284,                    nan,                    nan,                    nan,              0.0090496,              0.0090496,              0.0090496
                     50,                 2.7889,                 1.5052,                 1.1343,                0.08261,                0.01869,                0.00585,                0.00138,                    nan,                    nan,                    nan,              0.0090298,              0.0090298,              0.0090298
                     51,                 3.0094,                 1.5819,                 1.0718,                0.17009,                0.03738,                0.01921,                0.00571,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
                     52,                 2.6821,                 1.5483,                 1.0156,                0.07247,                0.00935,                0.00632,                0.00244,                    nan,                    nan,                    nan,              0.0089902,              0.0089902,              0.0089902
                     53,                 2.7665,                 1.3781,                 1.0774,                0.50921,                0.04862,                0.05003,                0.00756,                    nan,                    nan,                    nan,              0.0089704,              0.0089704,              0.0089704
