                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 2.6756,                 1.4953,                 1.0964,                0.21786,                0.03738,                 0.0291,                0.00485,                    nan,                    nan,                    nan,               0.006436,               0.006436,               0.006436
                     38,                  2.619,                 1.5408,                 1.1343,                0.32108,                0.02804,                0.03245,                 0.0115,                    nan,                    nan,                    nan,               0.006337,               0.006337,               0.006337
                     39,                 2.6042,                 1.5129,                 1.0361,                 0.7428,                0.05419,                 0.0656,                0.02011,                    nan,                    nan,                    nan,               0.006238,               0.006238,               0.006238
                     40,                 2.6662,                 1.4944,                  1.168,                0.47101,                0.03738,                0.03121,                0.00602,                    nan,                    nan,                    nan,               0.006139,               0.006139,               0.006139
                     41,                  2.534,                 1.3833,                 1.1109,                0.53351,                0.04673,                0.04162,                0.01283,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                     42,                 2.4225,                  1.427,                 1.0116,                0.55193,                0.06924,                0.06288,                0.01837,                    nan,                    nan,                    nan,               0.005941,               0.005941,               0.005941
                     43,                 2.6183,                 1.6313,                  1.164,                0.51574,                0.04673,                 0.0401,                0.01125,                    nan,                    nan,                    nan,               0.005842,               0.005842,               0.005842
                     44,                 2.5171,                 1.5288,                 1.0463,                0.28134,                0.02804,                0.02451,                0.00589,                    nan,                    nan,                    nan,               0.005743,               0.005743,               0.005743
                     45,                 2.9134,                 1.5413,                 1.1081,                 0.4256,                0.05607,                0.03279,                  0.008,                    nan,                    nan,                    nan,               0.005644,               0.005644,               0.005644
                     46,                 2.6268,                 1.4041,                 1.0534,                0.59876,                0.05581,                0.06138,                0.01321,                    nan,                    nan,                    nan,               0.005545,               0.005545,               0.005545
                     47,                 2.3965,                 1.5089,                 1.0317,                0.47766,                0.03738,                0.06004,                0.02222,                    nan,                    nan,                    nan,               0.005446,               0.005446,               0.005446
                     48,                 2.5109,                 1.4653,                0.96873,                0.59087,                0.05416,                 0.0667,                0.02246,                    nan,                    nan,                    nan,               0.005347,               0.005347,               0.005347
                     49,                 2.5767,                 1.4075,                0.99241,                0.65789,                0.04673,                0.06328,                0.01795,                    nan,                    nan,                    nan,               0.005248,               0.005248,               0.005248
