               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.045196,            0.011423,                   0,             0.92754,             0.83747,             0.91176,             0.26218,            0.050383,            0.006337,                   0,           0.0092872,           0.0092872,           0.0092872
                  38,            0.046953,            0.010685,                   0,             0.99094,             0.91589,              0.9828,             0.41083,            0.040501,           0.0065619,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,             0.04564,            0.010659,                   0,                   1,             0.92821,              0.9825,             0.49327,            0.034059,           0.0067339,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.041974,            0.010696,                   0,             0.91221,             0.87402,             0.93437,             0.32774,             0.04152,           0.0063614,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.047721,            0.010814,                   0,             0.85091,             0.80012,             0.82789,             0.25592,            0.051663,           0.0060979,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.045964,            0.011483,                   0,              0.9096,             0.83178,             0.88228,             0.32497,            0.045685,           0.0061363,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.042696,            0.012429,                   0,             0.95117,             0.91032,               0.969,             0.44894,            0.036208,           0.0061288,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.042291,           0.0087489,                   0,             0.97591,             0.94393,              0.9796,             0.50505,            0.039881,           0.0057415,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.045707,           0.0095842,                   0,             0.86309,             0.82486,             0.87782,             0.31529,            0.046266,           0.0057163,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,            0.040146,           0.0098967,                   0,             0.99015,             0.93919,             0.96563,             0.41819,            0.042153,           0.0055321,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.041527,            0.010063,                   0,             0.94051,             0.88785,             0.93378,             0.25389,            0.046229,            0.005424,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,            0.042332,           0.0089838,                   0,             0.98993,             0.93458,             0.98563,             0.56429,            0.032784,           0.0058953,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,            0.038803,            0.008722,                   0,             0.90251,              0.8785,             0.89615,             0.27058,             0.04714,            0.005379,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.043153,           0.0085331,                   0,             0.93846,             0.88785,             0.94713,             0.38926,            0.041919,           0.0054339,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.039633,           0.0086698,                   0,             0.95076,             0.90226,             0.97847,              0.6285,            0.037767,           0.0056895,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.038831,           0.0087161,                   0,              0.9803,             0.93029,             0.98675,             0.53486,            0.031982,           0.0058851,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.039368,           0.0092367,                   0,                   1,             0.88969,               0.979,             0.46198,            0.037294,           0.0058817,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.034389,           0.0091072,                   0,             0.97878,             0.86227,             0.95337,             0.50755,            0.035073,           0.0050699,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.038629,           0.0080135,                   0,                   1,             0.92787,             0.98743,             0.57546,            0.031578,           0.0048475,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.036756,           0.0062273,                   0,             0.99038,             0.98131,             0.99362,             0.55631,            0.029938,           0.0048321,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.039989,           0.0079346,                   0,             0.99383,             0.96262,             0.99208,             0.42825,            0.037406,           0.0046957,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,              0.0369,           0.0078162,                   0,             0.96053,             0.93458,             0.96764,             0.39563,            0.033816,           0.0046551,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.040456,           0.0084386,                   0,             0.99327,             0.96262,             0.99358,             0.53487,            0.034257,           0.0044789,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,             0.03989,           0.0079936,                   0,             0.99612,             0.97196,              0.9923,             0.38742,            0.033557,           0.0044255,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.040613,           0.0072359,                   0,             0.99043,             0.96704,             0.99366,             0.53914,            0.037451,           0.0044299,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.036148,           0.0066265,                   0,             0.99444,             0.97196,             0.99429,              0.6888,             0.03036,           0.0044106,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.036516,           0.0074894,                   0,               0.972,             0.97348,             0.99353,             0.61912,            0.026758,           0.0045098,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.033941,           0.0072205,                   0,              0.9695,             0.97196,             0.99302,             0.47393,            0.032113,           0.0043857,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.035642,           0.0073002,                   0,             0.66626,             0.81308,             0.78914,             0.40776,            0.032404,           0.0043572,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.034631,           0.0071582,                   0,             0.93398,              0.8972,             0.96759,             0.51144,            0.034622,           0.0042231,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.032527,           0.0069648,                   0,             0.80154,             0.95327,             0.95188,             0.49047,            0.030113,            0.004387,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.035752,           0.0072112,                   0,             0.83872,             0.92342,             0.94535,             0.45433,            0.032476,           0.0043893,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,            0.036203,           0.0065487,                   0,             0.94288,             0.92565,             0.97949,             0.53158,            0.031487,           0.0044031,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.032273,           0.0073583,                   0,             0.97659,             0.99065,             0.99453,             0.66589,              0.0264,           0.0042095,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,            0.033468,           0.0072714,                   0,                   1,             0.98043,             0.99472,             0.54441,            0.033334,           0.0040406,                   0,            0.008614,            0.008614,            0.008614
                  72,            0.034489,           0.0068843,                   0,             0.98116,             0.97322,             0.99416,             0.50443,             0.02737,           0.0041282,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.035018,           0.0067682,                   0,             0.99909,             0.98131,             0.99481,             0.52536,            0.033295,           0.0039799,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,            0.034101,           0.0063681,                   0,             0.99695,             0.98131,             0.99481,             0.62668,            0.032401,           0.0038812,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,            0.034505,            0.006741,                   0,             0.99056,             0.98052,             0.99445,              0.5075,            0.030565,           0.0039366,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,             0.03341,           0.0064517,                   0,             0.99804,             0.98131,             0.99482,             0.62747,            0.028855,           0.0040988,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.033813,           0.0062097,                   0,             0.99743,             0.98131,             0.99481,             0.43717,            0.033588,           0.0040206,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.035295,           0.0058283,                   0,             0.99283,             0.98131,             0.99491,             0.47481,            0.037773,           0.0042742,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,            0.033366,           0.0077053,                   0,             0.99072,             0.99777,             0.99491,             0.67722,            0.022315,           0.0042155,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,             0.02978,           0.0057089,                   0,                   1,             0.99027,               0.995,             0.60895,            0.028657,           0.0038857,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,            0.033506,           0.0067432,                   0,             0.99046,             0.97073,             0.99436,             0.62025,            0.025825,           0.0039836,                   0,            0.008416,            0.008416,            0.008416
                  82,            0.030538,           0.0065455,                   0,             0.97261,             0.99548,             0.99427,             0.71378,            0.026253,           0.0038235,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,            0.032333,            0.005719,                   0,             0.97228,             0.98338,             0.99398,              0.6311,            0.025355,           0.0038667,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,            0.033816,           0.0065782,                   0,             0.97293,             0.99065,             0.99453,             0.60698,            0.027783,           0.0038635,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,            0.032057,           0.0066777,                   0,             0.98922,             0.99065,             0.99481,             0.61599,            0.027885,           0.0037206,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,             0.03236,           0.0062189,                   0,             0.98142,             0.98709,             0.98783,             0.47059,            0.030812,           0.0037798,                   0,            0.008317,            0.008317,            0.008317
                  87,            0.033612,           0.0063438,                   0,             0.98512,             0.97196,             0.99125,             0.58293,            0.027195,           0.0036914,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,            0.033699,           0.0059871,                   0,             0.99862,             0.99065,               0.995,             0.63753,            0.026087,           0.0036392,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,            0.031152,           0.0054841,                   0,             0.99065,             0.99025,             0.99425,              0.6122,            0.030674,           0.0036688,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,            0.030429,           0.0056555,                   0,             0.84636,             0.97818,             0.90056,             0.54928,            0.031835,           0.0036115,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,             0.03227,           0.0064611,                   0,                   1,             0.98992,               0.995,             0.63231,            0.020945,           0.0035887,                   0,            0.008218,            0.008218,            0.008218
                  92,            0.029914,           0.0059394,                   0,             0.99972,             0.99065,               0.995,               0.622,            0.027159,           0.0035532,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,             0.03328,           0.0054228,                   0,              0.9987,             0.99065,               0.995,             0.62642,            0.028527,           0.0035418,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,            0.029756,           0.0051027,                   0,             0.99567,             0.99065,               0.995,              0.6914,            0.029679,           0.0035157,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,             0.03081,           0.0060039,                   0,             0.99893,             0.99065,               0.995,             0.56782,            0.025262,           0.0035622,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,            0.030227,           0.0056187,                   0,             0.98005,             0.99065,             0.99368,             0.69899,            0.021578,           0.0036268,                   0,            0.008119,            0.008119,            0.008119
                  97,            0.031012,           0.0060164,                   0,             0.98912,             0.99065,             0.99444,             0.69524,            0.026283,            0.003491,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,            0.030273,           0.0057243,                   0,                   1,             0.99798,               0.995,             0.71792,             0.02354,           0.0035982,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,            0.032875,           0.0061193,                   0,                   1,             0.99016,               0.995,             0.55824,            0.027512,           0.0036164,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,            0.031533,           0.0056785,                   0,             0.99815,             0.99065,               0.995,             0.63704,            0.024527,           0.0040262,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,            0.029644,           0.0056319,                   0,             0.99507,             0.99065,               0.995,             0.48246,            0.027908,           0.0036339,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.031151,           0.0060551,                   0,             0.99865,                   1,               0.995,             0.56026,            0.025131,           0.0036196,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,             0.02937,           0.0058561,                   0,             0.99273,             0.99065,               0.995,             0.68905,            0.024043,           0.0034432,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.029481,           0.0060451,                   0,             0.99071,                   1,               0.995,             0.72622,            0.024263,           0.0033275,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,            0.030032,           0.0047632,                   0,             0.99775,                   1,               0.995,             0.57011,            0.032426,           0.0034279,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,            0.032276,           0.0060674,                   0,                   1,             0.99955,               0.995,               0.729,            0.025668,            0.003302,                   0,            0.007921,            0.007921,            0.007921
                 107,            0.029267,           0.0051675,                   0,                   1,             0.99005,               0.995,              0.7192,            0.023042,           0.0034332,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,             0.03098,           0.0048858,                   0,                   1,              0.9897,               0.995,             0.62673,            0.027405,           0.0033886,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,            0.031286,           0.0051108,                   0,             0.99741,             0.98131,             0.99491,             0.62465,             0.02869,           0.0035012,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,            0.031017,           0.0056789,                   0,                   1,             0.99759,               0.995,             0.70873,             0.02414,           0.0034788,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,            0.030147,           0.0050245,                   0,             0.99857,                   1,               0.995,             0.71015,            0.024301,           0.0035459,                   0,            0.007822,            0.007822,            0.007822
                 112,            0.031242,           0.0059392,                   0,             0.99903,                   1,               0.995,             0.67911,            0.022217,           0.0036863,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,            0.030395,           0.0060728,                   0,             0.99947,                   1,               0.995,             0.54659,            0.025686,           0.0035045,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,            0.029961,           0.0046989,                   0,              0.9995,                   1,               0.995,             0.71241,            0.024038,           0.0034729,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,            0.027497,           0.0057957,                   0,                   1,             0.99957,               0.995,             0.62371,            0.022547,           0.0033851,                   0,           0.0077428,           0.0077428,           0.0077428
