                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.2005,                 1.4446,                 1.1604,                0.21827,                0.51405,                0.23302,                0.05636,                 2.9901,                 2.6687,                  1.138,              0.0093466,              0.0093466,              0.0093466
                     35,                 2.6622,                 1.4808,                 1.0972,                0.31536,                0.57944,                0.36497,                0.10927,                  2.793,                 2.7451,                 1.1356,              0.0093268,              0.0093268,              0.0093268
                     36,                 2.6965,                 1.4089,                 1.0466,                0.27334,                0.55896,                0.25079,                0.06633,                 3.2898,                 2.1228,                 1.1051,               0.009307,               0.009307,               0.009307
                     37,                 2.6988,                 1.6413,                 1.0834,                0.35548,                0.61682,                0.32946,                 0.0801,                 3.2182,                 1.8246,                   1.17,              0.0092872,              0.0092872,              0.0092872
                     38,                 2.7084,                 1.4843,                 1.0962,                0.52005,                0.74766,                0.60586,                0.20423,                 2.4822,                 2.8612,                 1.0213,              0.0092674,              0.0092674,              0.0092674
                     39,                 2.8551,                 1.6693,                  1.035,                 0.5194,                0.51402,                0.45076,                0.14899,                 2.4041,                 2.2341,                 1.0158,              0.0092476,              0.0092476,              0.0092476
                     40,                 2.7629,                 1.4711,                 1.0412,                0.55635,                 0.5514,                0.48891,                0.10583,                  2.923,                 2.5272,                 1.0704,              0.0092278,              0.0092278,              0.0092278
                     41,                 2.8035,                 1.4571,                 1.0536,                0.47929,                 0.2243,                0.21639,                 0.0605,                 2.8973,                 8.5897,                 1.0904,               0.009208,               0.009208,               0.009208
                     42,                 2.7835,                 1.3895,                 1.0435,                  0.502,                0.59813,                0.48532,                0.15467,                 2.4289,                 1.5934,                 1.0502,              0.0091882,              0.0091882,              0.0091882
                     43,                 2.8431,                 1.3277,                 1.0677,                0.46667,                0.40187,                0.30293,                 0.0731,                 2.9234,                 1.7271,                 1.0772,              0.0091684,              0.0091684,              0.0091684
                     44,                 2.8437,                 1.3066,                 1.0716,                0.37672,                0.51403,                0.37269,                0.10363,                 3.0451,                 1.9626,                 1.0369,              0.0091486,              0.0091486,              0.0091486
                     45,                  2.664,                 1.4128,                 1.0804,                0.24421,                0.34579,                0.16136,                0.03354,                 3.4823,                 3.0511,                 1.2652,              0.0091288,              0.0091288,              0.0091288
                     46,                 2.8759,                 1.4058,                 1.1095,                0.12057,                0.04673,                0.02236,                0.00585,                 4.5196,                  6.993,                 1.4941,               0.009109,               0.009109,               0.009109
